species,treatment,value
a,x1,-0.015391701644160795
a,x1,-0.027351278382637546
a,x1,0.03680866617840667
a,x1,0.00044679212568221366
a,x1,-0.03561554375783755
a,x1,0.09448436554155545
a,x1,0.04657221611552772
a,x1,-0.012969551839854685
a,x1,0.07549686935729621
a,x1,0.02746522134864848
a,x1,0.06403067850152545
a,x1,0.008771969638508131
a,x1,-0.034989714689279076
a,x1,-0.010419122852340453
a,x1,-0.002797730834227568
a,x1,-0.06964261011032329
a,x1,-0.04387594691745287
a,x1,0.0016706810399216194
a,x1,0.006000003889963689
a,x1,-0.1593037038591309
a,x1,-0.09307732803466706
a,x1,-0.126812484196774
a,x1,-0.11270952021447236
a,x1,-0.12363656430365766
a,x1,-0.10048623963158161
a,x1,-0.03777620204757004
a,x1,-0.031236074388156617
a,x1,-0.11084854162958638
a,x1,-0.06820349752563178
a,x1,0.01786354821293845
a,x1,0.023795237163601293
a,x1,0.00021031561172466212
a,x1,0.07444322393267899
a,x1,0.029719935837844304
a,x1,-0.05836500041413592
a,x1,-0.043695818662169435
a,x1,-0.06176753735728123
a,x1,-0.049997618162533716
a,x1,-0.04315576171738189
a,x1,-0.041716168210343074
a,x1,-0.07438088052689298
a,x1,0.04854487341786256
a,x1,-0.1672276788986922
a,x1,0.05348428002457991
a,x1,-0.033464009177986656
a,x1,-0.04254780309036686
a,x1,-0.08083980691502553
a,x1,0.05551453193961267
a,x1,0.03250523830715986
a,x1,0.06945627888063872
a,x1,0.1521544941521603
a,x1,0.1009537496530623
a,x1,0.13072603479270956
a,x1,0.12367443694034008
a,x1,0.13081618046694812
a,x1,-0.005366818430910653
a,x1,0.051422707979690924
a,x1,0.023464278934037828
a,x1,0.022842815699795436
a,x1,0.03746446313483856
a,x1,0.03158175205176964
a,x1,0.08843970888687362
a,x1,0.08658008497370168
a,x1,-0.009334474197527608
a,x1,0.0555995276432152
a,x1,0.059315286696643425
a,x1,0.030027674694953467
a,x1,0.07049707216010002
a,x1,0.11158570681311393
a,x1,-0.028337277578925707
a,x1,0.1645750799777473
a,x1,0.10851739493896935
a,x1,0.08771079277000791
a,x1,0.016140705457768606
a,x1,0.00499169432958902
a,x1,0.014498563566580988
a,x1,-0.06983567549057376
a,x1,0.016981607846629446
a,x1,-0.13862777775075424
a,x1,-0.09991579531273033
a,x1,-0.011322241905147759
a,x1,-0.10750826055206135
a,x1,-0.022339709825154996
a,x1,-0.032608870384523675
a,x1,-0.02634218073170268
a,x1,-0.11167860813413216
a,x1,-0.028720714295330338
a,x1,-0.06317864438563513
a,x1,-0.11735955418484109
a,x1,-0.12991811390871594
a,x1,-0.1907208183501079
a,x1,-0.1595721109373144
a,x1,-0.16947090887795158
a,x1,-0.23150484263802013
a,x1,-0.2373826920393245
a,x1,-0.24174476279429
a,x1,-0.22309336528933002
a,x1,-0.21463202400393122
a,x1,-0.21889119405124172
a,x1,-0.19406245836734637
a,x1,-0.17097726371549418
a,x1,-0.056684679628767366
a,x1,-0.06487240871309054
a,x1,-0.05301376139093411
a,x1,-0.0380170765449846
a,x1,-0.16832601004962672
a,x1,-0.0335718304738845
a,x1,-0.11461446201925683
a,x1,-0.1363703393199577
a,x1,-0.0010014758758738408
a,x1,-0.07852238963624043
a,x1,-0.06633856546030076
a,x1,-0.05655767733276935
a,x1,-0.04262258290017015
a,x1,0.11040227562652553
a,x1,-0.07740418235202802
a,x1,-0.06893671791205261
a,x1,-0.04172892046787848
a,x1,-0.09341719805597822
a,x1,-0.03798530321559368
a,x1,-0.13601124006141513
a,x1,-0.10345500845554295
a,x1,-0.11642479726852434
a,x1,-0.09765537975682251
a,x1,-0.0776519860465724
a,x1,-0.11401123436591598
a,x1,0.049876063133018525
a,x1,0.04547816436852705
a,x1,-0.16156023139402217
a,x1,0.036591889872344054
a,x1,-0.04109839928765425
a,x1,0.09646274842744719
a,x1,0.1386638621079132
a,x1,0.06670673876287282
a,x1,0.031327263473097916
a,x1,0.015265069264017581
a,x1,-0.0963504481832566
a,x1,-0.09164093778489371
a,x1,-0.11902547002403398
a,x1,-0.10985650226408586
a,x1,-0.06129231588192846
a,x1,-0.08847035375768351
a,x1,-0.0894950270772259
a,x1,-0.1601850886601463
a,x1,-0.0846638662808196
a,x1,-0.06759167429719957
a,x1,-0.07796673554116537
a,x1,-0.07796673554116537
a,x1,-0.08033518981160043
a,x1,-0.08033518981160043
a,x1,-0.08033518981160043
a,x1,-0.08033518981160043
a,x1,-0.07775823370663522
a,x1,-0.07775823370663522
a,x1,-0.07960751755384698
a,x1,-0.07960751755384698
a,x1,-0.07960751755384698
a,x1,-0.07284304317717014
a,x1,-0.07503081644057161
a,x1,-0.07503081644057161
a,x1,-0.07503081644057161
a,x1,-0.07774698431028085
a,x1,-0.07774698431028085
a,x1,-0.07774698431028085
a,x1,-0.07774698431028085
a,x1,-0.07680098217533711
a,x1,-0.07680098217533711
a,x1,-0.07755859839187244
a,x1,-0.07755859839187244
a,x1,-0.07755859839187244
a,x1,-0.07755859839187244
a,x1,-0.07770729125754319
a,x1,-0.0747926002369207
a,x1,-0.07452616305912063
a,x1,-0.07452616305912063
a,x1,-0.07581281059075695
a,x1,-0.07581281059075695
a,x1,-0.07531656667779767
a,x1,-0.07531656667779767
a,x1,-0.0754991583345692
a,x1,-0.0754991583345692
a,x1,-0.0754991583345692
a,x1,-0.07670816452057658
a,x1,-0.07670816452057658
a,x1,-0.07586603530585667
a,x1,-0.07586603530585667
a,x1,-0.07586603530585667
a,x1,-0.07586603530585667
a,x1,-0.07586603530585667
a,x1,-0.07586603530585667
a,x1,-0.07586603530585667
a,x1,-0.07586603530585667
a,x1,-0.07350597169311608
a,x1,-0.07081227249342012
a,x1,-0.07145698818708186
a,x1,-0.07145698818708186
a,x1,-0.07132762276086863
a,x1,-0.07132762276086863
a,x1,-0.07122144724508658
a,x1,-0.07122144724508658
a,x1,-0.07066535163423743
a,x1,-0.07066535163423743
a,x1,-0.07382924793590089
a,x1,-0.07382924793590089
a,x1,-0.07253728026625877
a,x1,-0.07253728026625877
a,x1,-0.07253728026625877
a,x1,-0.07253728026625877
a,x1,-0.07342155640143787
a,x1,-0.07406358133147974
a,x1,-0.0750383971527635
a,x1,-0.07919067103015673
a,x1,-0.07760496339669087
a,x1,-0.0704899117951466
a,x1,-0.07793602084708831
a,x1,-0.08000954679862428
a,x1,-0.060855981852305285
a,x1,-0.00562688760336867
a,x1,-0.022139285681327312
a,x1,-0.007131647101249142
a,x1,-0.0207938723257379
a,x1,-0.004452927661338491
a,x1,-0.05539306280036196
a,x1,-0.04919762959655598
a,x1,-0.051492673555337355
a,x1,-0.09604598080817653
a,x1,-0.045277887407783594
a,x1,-0.002241473103120869
a,x1,-0.12337683614798582
a,x1,-0.10256659410343574
a,x1,0.016174883635874136
a,x1,0.008296916761789876
a,x1,-0.21375219783385643
a,x1,-0.062263936331582434
a,x1,-0.06259433846937813
a,x1,-0.0874755451907334
a,x1,-0.049057411746908024
a,x1,-0.11201914015624673
a,x1,-0.09317561397607758
a,x1,-0.10156096829675014
a,x1,-0.10689479095393856
a,x1,-0.087588228363948
a,x1,-0.13103857023615958
a,x1,-0.12044724482789579
a,x1,-0.10332206008988666
a,x1,-0.10699068723857183
a,x1,-0.12010541582940833
a,x1,-0.12887583704027947
a,x1,-0.15063602967013595
a,x1,-0.1317729560391461
a,x1,-0.15607177852375764
a,x1,-0.14659923867289676
a,x1,-0.12301211840464227
a,x1,0.02419386114895585
a,x1,-0.02984958698489139
a,x1,-0.05291628073380515
a,x1,-0.04489891325110028
a,x1,0.024333610696445362
a,x1,0.11918418271017635
a,x1,0.10337587959527661
a,x1,0.18178208285821926
a,x1,0.1745731125343295
a,x1,0.12520599322350473
a,x1,0.1290246865860355
a,x1,-0.0601305072918066
a,x1,-0.03407362471321489
a,x1,0.04210878868733062
a,x1,-0.218011284204979
a,x1,-0.36180376253235713
a,x1,-0.33351086185608675
a,x1,-0.33305726653111717
a,x1,-0.05121842415200911
a,x1,-0.158572126376821
a,x1,-0.029074306705897907
a,x1,0.06270053764385132
a,x1,0.07720686766957142
a,x1,0.06836928172203817
a,x1,0.022278377189358177
a,x1,0.07374480918246418
a,x1,0.09005756399025219
a,x1,-0.04549564436348797
a,x1,0.017139244834430373
a,x1,0.009940888577294207
a,x1,-0.0014563332937119697
a,x1,-0.010691811624851269
a,x1,-0.014894845307936456
a,x1,-0.01831135097414809
a,x1,-0.037889658587740495
a,x1,-0.036685535564278476
a,x1,-0.0631546661323687
a,x1,0.0874090772475069
a,x1,0.18087203843360875
a,x1,0.011314265516081497
a,x1,0.07076859677897324
a,x1,0.07080643750846585
a,x1,0.08921770338098506
a,x1,-0.05314524933859002
a,x1,0.0046962945900558915
a,x1,0.010944655931837754
a,x1,0.02275596210261838
a,x1,0.04450720491349499
a,x1,0.045904495771826426
a,x1,-0.02649929352935154
a,x1,-0.07007122969746289
a,x1,-0.043717395426533336
a,x1,-0.04619259761614817
a,x1,-0.11839049953740971
a,x1,-0.0990754305860076
a,x1,-0.0620651853946183
a,x1,-0.06609264836191345
a,x1,-0.04990035606899173
a,x1,-0.0008837599805218241
a,x1,-0.0023383513526607966
a,x1,-0.023330361840150596
a,x1,-0.041870619628794487
a,x1,-0.025882168846960284
a,x1,-0.13521839739046407
a,x1,-0.0033370477939353264
a,x1,-0.0256383661880204
a,x1,-0.005247608919188949
a,x1,-0.13128344322520338
a,x1,0.04593052578235291
a,x1,-0.006993457483380205
a,x1,0.10064857556973872
a,x1,-0.054685797243722356
a,x1,0.11779066113747076
a,x1,0.07786478809167748
a,x1,0.08895125703504532
a,x1,0.1575339951072965
a,x1,0.1494575628793602
a,x1,0.17085769338907217
a,x1,0.15692192745500275
a,x1,0.08155282260439403
a,x1,0.15057738080324484
a,x1,0.20055631383298694
a,x1,0.051367810108486164
a,x1,0.026877645211629823
a,x1,0.03373761092956543
a,x1,0.01671823662107294
a,x1,0.10324153083414056
a,x1,0.07379869114871342
a,x1,0.0775827290246071
a,x1,0.0701760285469945
a,x1,-0.05637354043597654
a,x1,-0.05467018793365083
a,x1,0.03833695001665865
a,x1,-0.025028155366978787
a,x1,0.03319443162228003
a,x1,-0.01209198097859121
a,x1,0.12460606672040223
a,x1,0.16448109457743462
a,x1,0.04099850941841519
a,x1,-0.006079760717317671
a,x1,0.1375124420157951
a,x1,0.051468793287216014
a,x1,0.15547706746389245
a,x1,-0.0998330057147917
a,x1,-0.029966205313002252
a,x1,0.06389000052268862
a,x1,0.07005839692964647
a,x1,0.003901837747179272
a,x1,-0.03979797482980865
a,x1,-0.16412551268170947
a,x1,0.04193488130670424
a,x1,0.0282835733455103
a,x1,-0.0993550896946423
a,x1,-0.07428240836173156
a,x1,0.001530654084020244
a,x1,0.012168880326131384
a,x1,-0.08081869851004966
a,x1,-0.03909047185385325
a,x1,-0.05210280822596007
a,x1,-0.10996268306489745
a,x1,-0.08480542731898645
a,x1,-0.11145261597990763
a,x1,-0.10407863183324353
a,x1,-0.11354683403239793
a,x1,-0.10202590242700404
a,x1,-0.06920384359293542
a,x1,-0.01001493426222996
a,x1,-0.07417373067805595
a,x1,-0.042973148250637506
a,x1,-0.04874696258568098
a,x1,-0.06645708466684898
a,x1,0.009334605120486906
a,x1,0.09224428437174455
a,x1,0.08578872360151764
a,x1,0.08223488219229767
a,x1,0.03924936461026038
a,x1,0.02242824832996594
a,x1,-0.055018788147866
a,x1,-0.03088002732131951
a,x1,-0.02890402030052946
a,x1,-0.14387492560961304
a,x1,-0.025347834896108503
a,x1,-0.03544424842201228
a,x1,-0.10743838575783074
a,x1,-0.11545393983547035
a,x1,-0.07017745495668341
a,x1,-0.07058347915413632
a,x1,0.033563695261312164
a,x1,-0.07703007694138123
a,x1,0.010855348549867182
a,x1,-0.18669593737846518
a,x1,-0.02193637432074513
a,x1,-0.06745165842192408
a,x1,-0.038159262932152105
a,x1,-0.0973162456034879
a,x1,-0.008626683317875573
a,x1,-0.0952940705661675
a,x1,-0.14713074251817929
a,x1,-0.10333232787645595
a,x1,-0.12288954762781577
a,x1,-0.11566533658308081
a,x1,-0.043461606112225125
a,x1,-0.050985303513602045
a,x1,-0.1206544459569476
a,x1,-0.12380464295213994
a,x1,-0.10477026586845352
a,x1,-0.06840621714029635
a,x1,-0.07050255818889807
a,x1,-0.07050255818889807
a,x1,-0.07050255818889807
a,x1,-0.08318640865013398
a,x1,-0.026403440779856985
a,x1,-0.003947577915835179
a,x1,-0.05456245618468708
a,x1,-0.04944548979377674
a,x1,-0.12692374736183784
a,x1,-0.17928920830409
a,x1,-0.07381795011099763
a,x1,-0.07992028844805146
a,x1,-0.08157271896883335
a,x1,-0.01966968773437848
a,x1,-0.13278005666913087
a,x1,-0.10119236627864055
a,x1,-0.07779938373293405
a,x1,0.06816986319891384
a,x1,0.11284393685362404
a,x1,0.07048087717762169
a,x1,0.04372707037120215
a,x1,-0.10484533025581862
a,x1,-0.12218648932373076
a,x1,0.023141434368085113
a,x1,0.13785285554901
a,x1,0.04943036040922556
a,x1,-0.011626198674711085
a,x1,0.033676652360346594
a,x1,0.10638937187370472
a,x1,0.07447836196553122
a,x1,-0.15316169574551944
a,x1,-0.03575673232583748
a,x1,-0.06803027236007787
a,x1,-0.046844944585852366
a,x1,0.02287461101744905
a,x1,0.042054539780493116
a,x1,-0.09402429104745616
a,x1,-0.042782840716134425
a,x1,0.005611410527428479
a,x1,-0.021930372741959147
a,x1,-0.07146632487777266
a,x1,-0.07794790548431323
a,x1,0.14323264051919343
a,x1,-0.058004306874491846
a,x1,-0.06882119386036731
a,x1,-0.05352040587941631
a,x1,0.03279688866121956
a,x1,-0.14480159392584907
a,x1,0.0086299819044396
a,x1,0.02837641002979243
a,x1,-0.011030249791137443
a,x1,-0.08721718552075426
a,x1,-0.023794970913000542
a,x1,-0.08169197877437312
a,x1,-0.03820275154159113
a,x1,-0.074630507364175
a,x1,-0.08819220524621832
a,x1,-0.10331067674012821
a,x1,-0.1305486539512176
a,x1,-0.12422236594082414
a,x1,-0.009845923798790773
a,x1,0.04057713708251957
a,x1,-0.019727545188412077
a,x1,0.08345793711837247
a,x1,-0.04046632546591329
a,x1,-0.14582167474948654
a,x1,0.017302266539021678
a,x1,-0.04529623945147075
a,x1,0.10874842797910551
a,x1,0.004298649886847569
a,x1,0.03878076274336423
a,x1,-0.16201899135426032
a,x1,-0.16822705320103415
a,x1,-0.038551104392800774
a,x1,-0.0653566873258753
a,x1,0.2516130326451357
a,x1,-0.00492612096416574
a,x1,0.009681506317608557
a,x1,-0.05865466671942958
a,x1,-0.11160714822293762
a,x1,-0.17862711232276593
a,x1,-0.1821103626370371
a,x1,-0.07753351803258185
a,x1,-0.16689423048605284
a,x1,-0.12912181763202932
a,x1,-0.07044604524200962
a,x1,-0.08729680613538293
a,x1,-0.1137559673920759
a,x1,-0.10020357486644543
a,x1,-0.08349926413107599
a,x1,0.03150779914029852
a,x1,-0.069120173844288
a,x1,-0.0291714769526616
a,x1,0.03056238589837081
a,x1,0.06508153948140218
a,x1,0.03826695322061108
a,x1,0.06022245105412648
a,x1,-0.014237473115178846
a,x1,-0.006857652420964206
a,x1,-0.010036878122586933
a,x1,-0.02471300344221689
a,x1,-0.05585766471566492
a,x1,-0.0623749265273624
a,x1,-0.016321400536894178
a,x1,-0.022969679153034266
a,x1,-0.039334224562025594
a,x1,0.06915551430552475
a,x1,0.07066215010668997
a,x1,0.036209686533521517
a,x1,-0.015681834444473935
a,x1,0.06743551469859459
a,x1,0.0014411999714908645
a,x1,0.2021943493089534
a,x1,0.19449563191037794
a,x1,0.1636659258559486
a,x1,0.28825755487820237
a,x1,0.04805436750692341
a,x1,0.09313679194984124
a,x1,0.09034384649417883
a,x1,-0.10553347905236407
a,x1,-0.04404876601215149
a,x1,-0.03957176297067498
a,x1,-0.06304247005814641
a,x1,-0.06980425344880614
a,x1,-0.07674758829962174
a,x1,-0.03537832395505812
a,x1,-0.046804041256293116
a,x1,-0.11103319937255121
a,x1,-0.10729893284606837
a,x1,-0.15922317787503348
a,x1,-0.05933668123499603
a,x1,-0.05715813579532209
a,x1,-0.011251564190463791
a,x1,-0.0313086656976811
a,x1,-0.05474692972550717
a,x1,-0.020676533998480476
a,x1,0.035739899393574644
a,x1,0.0043033942354712374
a,x1,0.03223667402517433
a,x1,0.03168964280861462
a,x1,0.04148250668714341
a,x1,0.09218400780499039
a,x1,0.10227623740465763
a,x1,0.10027070000936643
a,x1,-0.05814243959984099
a,x1,-0.053341348047243456
a,x1,-0.05072480825425824
a,x1,-0.056767505409595846
a,x1,-0.050724623366591746
a,x1,-0.052996350808978215
a,x1,0.00035350384424407224
a,x1,0.002771141871469881
a,x1,0.0005247044028587789
a,x1,-0.08844239719157801
a,x1,-0.02676039546823613
a,x1,-0.07767678654679797
a,x1,-0.05279716383391142
a,x1,-0.10963453729537599
a,x1,0.016387186683918288
a,x1,-0.05323927362165454
a,x1,-0.05729605516065421
a,x1,-0.0637093080183239
a,x1,-0.0637093080183239
a,x1,-0.019047622707705377
a,x1,-0.0025406398762083753
a,x1,-0.019401952895505382
a,x1,-0.009511186033196789
a,x1,0.030842812675946886
a,x1,0.06420919091073847
a,x1,-0.004497834634126061
a,x1,-0.0021961245623687152
a,x1,0.0004673764843180755
a,x1,0.0004673764843180755
a,x1,0.0004673764843180755
a,x1,-0.0014497794716757922
a,x1,-0.004096277154876567
a,x1,6.765850911315957e-5
a,x1,6.765850911315957e-5
a,x1,0.002583305842289088
a,x1,0.0070712798700687165
a,x1,0.005443902402482312
a,x1,0.00436014393917858
a,x1,0.0024747473509548505
a,x1,0.0024747473509548505
a,x1,0.00012476935958188537
a,x1,0.00012476935958188537
a,x1,0.003181439682056114
a,x1,0.0054138835525210025
a,x1,-0.0511611843633366
a,x1,-0.06622429779705287
a,x1,0.005308024650130938
a,x1,0.004370233229607586
a,x1,-0.03807382181437054
a,x1,-0.04471079300556798
a,x1,-0.05102324738816974
a,x1,-0.009380347945163951
a,x1,-0.08019230518424758
a,x1,-0.004043489448783628
a,x1,0.029023433319290217
a,x1,-0.061707811491681225
a,x1,-0.04373928686486053
a,x1,-0.0732847993093432
a,x1,0.007988389817302693
a,x1,-0.07508327297337872
a,x1,0.031545184325567924
a,x1,-0.003145610459334452
a,x1,-0.09815241743268244
a,x1,-0.012643191303442056
a,x1,-0.15161393394202052
a,x1,-0.052375410145509484
a,x1,-0.08995570454214412
a,x1,0.013958146730517831
a,x1,-0.007145442181513806
a,x1,-0.04722979250281667
a,x1,-0.06323495652947256
a,x1,-0.0769139279980846
a,x1,-0.05437949320535478
a,x1,0.029745050300300526
a,x1,0.00849449676606588
a,x1,0.00876813991713685
a,x1,0.01058943855197997
a,x1,0.1712911608790811
a,x1,0.14546844464072606
a,x1,0.1245502073467254
a,x1,0.12582320838260472
a,x1,0.046063723003190865
a,x1,0.01430562267551887
a,x1,0.04537953613594446
a,x1,0.08389349216447331
a,x1,0.07657674640155801
a,x1,0.08855960788662025
a,x1,0.10150834508680956
a,x1,0.06632348223994829
a,x1,0.08421884136939282
a,x1,-0.06151869646632726
a,x1,-0.036381066718381254
a,x1,-0.02821262020325633
a,x1,-0.004655587799666477
a,x1,-0.017893474302405895
a,x1,0.0009204537574920325
a,x1,0.05662250036664919
a,x1,-0.08165455480314106
a,x1,-0.0349072856061673
a,x1,-0.05373276032911087
a,x1,-0.023481494971010923
a,x1,-0.06510874197743141
a,x1,-0.006941836644792764
a,x1,-0.115784415420925
a,x1,-0.1882027195158249
a,x1,-0.006751371244252364
a,x1,0.08427722677890728
a,x1,0.049573168227332105
a,x1,0.04622535600417605
a,x1,-0.14731732906631836
a,x1,-0.06179346492291939
a,x1,-0.009524435593233032
a,x1,-0.10252874455108199
a,x1,-0.1115798959394523
a,x1,-0.06137805586815598
a,x1,-0.06778641833460956
a,x1,-0.061448546349025815
a,x1,-0.05015103494145479
a,x1,-0.04663660905004077
a,x1,-0.04452250732706592
a,x1,-0.07153625880577719
a,x1,-0.03541263595407514
a,x1,-0.025933262727320702
a,x1,-0.03163078303829493
a,x1,-0.03156000212903429
a,x1,-0.060152489697119345
a,x1,0.00440213850736384
a,x1,0.0039924552815439815
a,x1,-0.0645996334142279
a,x1,0.00946564719137458
a,x1,0.008019768978763475
a,x1,-0.033339291624429966
a,x1,-0.002679840275652315
a,x1,-0.016345333395114233
a,x1,0.025243743027031976
a,x1,-0.04873128914414272
a,x1,-0.004668543468289106
a,x1,-0.04361882115138594
a,x1,-0.08575538894819777
a,x1,-0.1918565861128734
a,x1,-0.12707476797691608
a,x1,-0.10620608705061961
a,x1,0.06224664929965643
a,x1,-0.016660735948686167
a,x1,0.05443728867893858
a,x1,-0.020961191001683817
a,x1,0.022775810024776803
a,x1,-0.0841660867936498
a,x1,0.10197204124742504
a,x1,-0.15829787159419687
a,x1,-0.15735664758471596
a,x1,-0.1578998979345479
a,x1,0.1291506748373842
a,x1,-0.052720626513686565
a,x1,-0.034206631909185346
a,x1,0.010581477357892645
a,x1,-0.001272399770839744
a,x1,0.0035301602174982673
a,x1,0.055823852575037206
a,x1,-0.04867261457253318
a,x1,-0.03439838663413752
a,x1,0.011335935579661416
a,x1,-0.01309037405438484
a,x1,-0.048809892827440186
a,x1,-0.0379884686647227
a,x1,-0.07674823488222803
a,x1,-0.06254028658242948
a,x1,-0.06719228578774673
a,x1,-0.007282543931914853
a,x1,0.0005443888277465674
a,x1,0.14075732315977343
a,x1,0.20022419748813416
a,x1,-0.029085394213511907
a,x1,0.18580369388666995
a,x1,-0.01919326584339191
a,x1,0.06002837722108428
a,x1,-0.05079940754167552
a,x1,-0.012199096101738876
a,x1,-0.08281431611440795
a,x1,-0.061169852367495295
a,x1,-0.03921254837755895
a,x1,0.07764367984700637
a,x1,0.009119392723540396
a,x1,0.031591432787266796
a,x1,0.07785331290946138
a,x1,0.0039565321778326935
a,x1,-0.011331433380751214
a,x1,-0.09696748319157666
a,x1,-0.0816569368207816
a,x1,-0.04526016042339073
a,x1,0.01752018518981654
